participant_id,signup_date,acquisition_channel,country,age,gender,device_type,last_activity_date,account_status
P101194,2024-05-14 23:21:57,Referral,United Kingdom,36,Female,Desktop,,never_activated
P102606,2024-05-15 00:21:39,Social Media,Portugal,37,Male,Desktop,2024-07-13 10:15:51.825865,churned
P100029,2024-05-15 02:10:46,Partner Program,Poland,19,Male,Desktop,,never_activated
P100957,2024-05-15 03:26:32,Organic Search,Italy,49,Female,Mobile,,never_activated
P102644,2024-05-17 02:25:38,Referral,United Kingdom,33,Female,Desktop,,never_activated
P102231,2024-05-17 13:28:37,Social Media,South Africa,18,Female,Desktop,2024-06-18 10:35:12.971495,churned
P101465,2024-05-17 14:49:30,Organic Search,Canada,27,Male,Desktop,,never_activated
P102780,2024-05-19 13:01:40,Paid Ads,United States,18,Male,Desktop,2024-10-17 13:27:22.779877,churned
P102562,2024-05-20 21:51:23,Referral,Germany,26,Male,Desktop,2024-08-22 06:39:48.836070,churned
P102329,2024-05-21 07:30:25,Social Media,Spain,30,Male,Desktop,,never_activated
P100977,2024-05-21 21:32:05,Partner Program,Portugal,41,Prefer not to say,Desktop,2024-07-23 05:20:47.956049,churned
P100148,2024-05-21 23:59:06,Organic Search,Italy,41,Female,Mobile,,never_activated
P102653,2024-05-22 00:32:16,Paid Ads,Spain,35,Male,Desktop,,never_activated
P100300,2024-05-22 01:33:38,Referral,Germany,41,Male,Mobile,2024-07-20 22:08:46.124074,churned
P102023,2024-05-22 07:44:16,Social Media,United States,44,Non-binary,Desktop,,never_activated
P100701,2024-05-22 12:31:06,Social Media,Portugal,40,Female,Desktop,2024-10-07 03:42:01.203346,churned
P102064,2024-05-22 16:58:04,Organic Search,United Kingdom,48,Female,Mobile,2024-06-11 23:34:54.314927,churned
P102986,2024-05-22 22:02:49,Referral,United States,25,Female,Desktop,2024-06-19 22:33:51.609648,churned
P101302,2024-05-22 22:05:07,Organic Search,Portugal,44,Male,Mobile,,never_activated
P100818,2024-05-25 04:31:19,Partner Program,Portugal,23,Female,Mobile,,never_activated
P102905,2024-05-25 15:51:44,Organic Search,Greece,31,Non-binary,Desktop,,never_activated
P102601,2024-05-25 22:32:29,Paid Ads,United Kingdom,22,Male,Desktop,2024-07-23 02:52:52.362413,churned
P100528,2024-05-27 09:53:38,Social Media,United Kingdom,30,Male,Desktop,,never_activated
P100458,2024-05-27 13:45:22,Organic Search,United States,31,Female,Mobile,,never_activated
P101413,2024-05-28 01:32:23,Social Media,Poland,31,Male,Desktop,,never_activated
P101998,2024-05-28 23:16:31,Organic Search,United States,48,Female,Desktop,,never_activated
P102677,2024-05-29 00:27:54,Social Media,Greece,30,Female,Mobile,,never_activated
P100006,2024-05-29 03:07:34,Paid Ads,South Africa,21,Female,Desktop,,never_activated
P101100,2024-05-29 04:11:26,Partner Program,United States,45,Prefer not to say,Mobile,,never_activated
P102732,2024-05-29 10:54:23,Paid Ads,United Kingdom,18,Male,Desktop,2024-08-29 17:43:09.766957,churned
P101716,2024-05-29 11:18:16,Organic Search,Ireland,27,Male,Desktop,2024-07-13 22:00:31.906413,churned
P102448,2024-05-29 14:03:37,Paid Ads,United States,24,Male,Mobile,,never_activated
P101714,2024-05-29 21:13:02,Organic Search,South Africa,24,Male,Desktop,,never_activated
P100424,2024-05-29 21:27:21,Organic Search,Ireland,35,Female,Desktop,2024-07-17 19:52:58.182770,churned
P101940,2024-05-30 23:25:07,Referral,South Africa,31,Male,Mobile,2024-06-28 07:49:06.981258,churned
P102331,2024-05-31 11:24:41,Social Media,Italy,38,Female,Mobile,,never_activated
P101621,2024-06-01 01:17:13,Organic Search,Greece,18,Male,Desktop,,never_activated
P101520,2024-06-01 13:03:34,Referral,Greece,31,Female,Desktop,,never_activated
P101319,2024-06-01 18:27:47,Organic Search,United Kingdom,25,Male,Desktop,,never_activated
P101711,2024-06-02 06:49:54,Referral,Ireland,18,Male,Mobile,,never_activated
P100616,2024-06-02 07:03:00,Referral,Germany,19,Male,Desktop,,never_activated
P102759,2024-06-03 10:21:05,Social Media,Mexico,29,Female,Desktop,,never_activated
P102060,2024-06-03 16:26:39,Organic Search,Poland,27,Male,Desktop,,never_activated
P102510,2024-06-03 19:29:50,Organic Search,Australia,18,Male,Mobile,,never_activated
P101725,2024-06-03 23:43:34,Paid Ads,United States,35,Male,Mobile,2024-10-16 16:38:20.803864,churned
P102609,2024-06-04 02:04:49,Paid Ads,Italy,35,Female,Desktop,2024-09-17 09:00:59.687023,churned
P100704,2024-06-04 06:35:41,Referral,United Kingdom,33,Male,Desktop,2024-07-06 06:42:49.537938,churned
P102011,2024-06-04 18:28:57,Partner Program,Germany,33,Male,Mobile,,never_activated
P101258,2024-06-05 04:34:19,Social Media,Germany,18,Female,Mobile,,never_activated
P100083,2024-06-05 08:04:44,Referral,United States,20,Male,Mobile,,never_activated
P102246,2024-06-05 12:33:32,Organic Search,United Kingdom,30,Male,Desktop,2024-09-20 22:45:44.630850,churned
P100032,2024-06-06 01:02:45,Organic Search,United Kingdom,29,Male,Mobile,,never_activated
P102081,2024-06-06 07:47:02,Organic Search,Portugal,39,Male,Tablet,2024-07-03 18:55:39.977120,churned
P101929,2024-06-06 23:40:16,Referral,United States,38,Male,Desktop,2024-08-31 12:13:35.366091,churned
P102549,2024-06-07 15:36:47,Referral,United States,30,Male,Desktop,2025-02-04 17:13:02.904717,churned
P102726,2024-06-07 16:09:04,Referral,Germany,34,Prefer not to say,Tablet,,never_activated
P101038,2024-06-07 19:18:17,Social Media,Poland,21,Female,Desktop,2024-07-11 18:58:05.344178,churned
P100859,2024-06-07 20:46:35,Organic Search,Portugal,42,Male,Mobile,,never_activated
P102008,2024-06-07 23:10:34,Organic Search,United Kingdom,27,Female,Mobile,,never_activated
P102357,2024-06-08 00:01:00,Organic Search,Mexico,22,Female,Mobile,,never_activated
P101788,2024-06-08 05:41:10,Referral,Italy,43,Female,Desktop,,never_activated
P100722,2024-06-08 20:19:53,Organic Search,United Kingdom,29,Male,Mobile,,never_activated
P100850,2024-06-08 21:46:28,Paid Ads,Germany,18,Female,Desktop,2024-07-06 03:57:05.862661,churned
P102046,2024-06-09 10:41:38,Partner Program,United Kingdom,38,Male,Desktop,2025-06-27 01:39:26.323379,active
P101190,2024-06-09 12:04:21,Organic Search,Spain,25,Female,Mobile,,never_activated
P101187,2024-06-09 13:37:08,Referral,United States,45,Male,Mobile,2024-08-27 15:58:49.852639,churned
P101606,2024-06-09 23:55:33,Organic Search,United Kingdom,43,Male,Desktop,,never_activated
P101997,2024-06-10 10:22:24,Organic Search,United Kingdom,29,Female,Mobile,2024-11-14 07:55:45.280561,churned
P101695,2024-06-10 20:22:53,Organic Search,Mexico,29,Female,Desktop,,never_activated
P102884,2024-06-10 23:58:42,Organic Search,Italy,18,Male,Mobile,,never_activated
P100369,2024-06-11 03:04:24,Social Media,Portugal,35,Female,Desktop,,never_activated
P102171,2024-06-11 11:49:03,Referral,United States,33,Male,Mobile,2024-08-05 23:27:06.805561,churned
P101604,2024-06-11 20:38:48,Referral,Mexico,26,Male,Desktop,,never_activated
P100354,2024-06-12 10:23:25,Social Media,Germany,27,Male,Desktop,2024-07-14 00:05:11.645483,churned
P100374,2024-06-13 01:47:56,Organic Search,United States,24,Male,Desktop,,never_activated
P102586,2024-06-13 04:11:56,Organic Search,United States,43,Female,Mobile,,never_activated
P102279,2024-06-13 09:21:26,Paid Ads,United States,18,Male,Desktop,,never_activated
P102341,2024-06-13 09:37:58,Organic Search,Greece,18,Female,Desktop,,never_activated
P102883,2024-06-13 10:17:25,Paid Ads,Australia,26,Female,Desktop,,never_activated
P101798,2024-06-13 16:50:10,Social Media,United States,30,Female,Desktop,,never_activated
P102401,2024-06-13 21:13:16,Social Media,Mexico,48,Male,Desktop,2024-10-13 01:23:38.337321,churned
P101265,2024-06-14 01:18:06,Partner Program,Canada,21,Male,Desktop,2024-11-19 18:35:24.387082,churned
P102554,2024-06-14 04:24:56,Organic Search,Greece,43,Male,Mobile,,never_activated
P101797,2024-06-14 10:37:00,Partner Program,United Kingdom,34,Male,Mobile,2024-08-19 02:59:49.918770,churned
P100436,2024-06-14 10:52:58,Paid Ads,United Kingdom,28,Female,Desktop,2024-08-10 20:15:17.811715,churned
P101338,2024-06-14 14:57:45,Social Media,United Kingdom,32,Male,Desktop,,never_activated
P102796,2024-06-15 00:55:26,Paid Ads,Greece,23,Female,Desktop,2024-08-15 02:10:36.658253,churned
P102563,2024-06-15 03:09:57,Organic Search,United Kingdom,31,Male,Desktop,,never_activated
P100476,2024-06-15 07:38:46,Social Media,United States,26,Female,Mobile,2024-08-04 19:44:38.223887,churned
P101391,2024-06-15 13:27:23,Organic Search,Poland,40,Female,Mobile,2024-08-26 17:59:45.178010,churned
P101493,2024-06-15 18:49:49,Paid Ads,United Kingdom,30,Male,Desktop,2024-11-14 14:18:31.502131,churned
P100077,2024-06-16 03:26:00,Referral,Poland,40,Female,Mobile,2024-07-22 16:04:18.431132,churned
P100068,2024-06-16 17:10:42,Social Media,United States,48,Female,Desktop,2024-09-17 04:04:09.404687,churned
P102739,2024-06-17 03:57:29,Organic Search,Germany,26,Male,Desktop,,never_activated
P100983,2024-06-17 11:22:33,Referral,Portugal,19,Female,Desktop,,never_activated
P102770,2024-06-18 04:19:37,Partner Program,United Kingdom,46,Male,Mobile,,never_activated
P101135,2024-06-18 12:33:46,Social Media,Mexico,18,Female,Desktop,,never_activated
P100586,2024-06-18 21:53:44,Organic Search,Canada,27,Female,Desktop,2024-07-13 19:06:55.476984,churned
P102558,2024-06-19 02:58:01,Paid Ads,Canada,32,Male,Desktop,2025-01-05 12:35:05.000081,churned
P100109,2024-06-19 03:35:05,Organic Search,Portugal,29,Female,Mobile,,never_activated
P101939,2024-06-19 12:55:11,Social Media,Poland,18,Male,Desktop,,never_activated
P101034,2024-06-19 13:54:02,Referral,United States,35,Male,Desktop,2024-07-08 22:40:59.951968,churned
P100497,2024-06-19 19:47:26,Social Media,United Kingdom,29,Female,Mobile,,never_activated
P102546,2024-06-19 20:46:37,Social Media,Ireland,29,Male,Tablet,,never_activated
P102932,2024-06-20 11:13:07,Referral,Germany,26,Female,Desktop,2024-07-07 05:40:17.740480,churned
P101289,2024-06-20 18:30:30,Organic Search,United Kingdom,36,Female,Desktop,,never_activated
P100311,2024-06-20 19:34:23,Social Media,Poland,30,Female,Desktop,2024-09-08 23:56:51.135510,churned
P102136,2024-06-21 06:31:14,Organic Search,United Kingdom,26,Male,Desktop,2024-09-05 02:49:15.129736,churned
P102238,2024-06-21 17:31:20,Organic Search,Greece,45,Female,Desktop,,never_activated
P101597,2024-06-21 20:22:49,Partner Program,United Kingdom,53,Male,Desktop,2024-07-17 16:22:41.676558,churned
P101985,2024-06-22 03:30:32,Social Media,Poland,35,Female,Desktop,2025-02-04 12:04:24.990148,churned
P102342,2024-06-22 06:47:46,Referral,Poland,35,Female,Desktop,2024-08-08 04:36:40.966367,churned
P100672,2024-06-22 07:23:36,Partner Program,Canada,33,Male,Mobile,2024-08-20 20:04:45.822848,churned
P101310,2024-06-22 11:04:36,Social Media,Italy,23,Female,Desktop,,never_activated
P101318,2024-06-23 00:11:31,Organic Search,Spain,48,Male,Desktop,2025-01-10 23:46:11.338238,churned
P101132,2024-06-23 08:00:07,Partner Program,United States,20,Female,Mobile,2024-08-27 10:36:08.348416,churned
P100613,2024-06-23 15:57:13,Paid Ads,Canada,27,Male,Mobile,,never_activated
P102049,2024-06-23 16:15:31,Referral,Germany,30,Prefer not to say,Mobile,2024-08-22 09:44:31.465560,churned
P100439,2024-06-23 16:55:35,Social Media,Poland,46,Male,Mobile,,never_activated
P101676,2024-06-23 19:51:06,Organic Search,United Kingdom,34,Female,Mobile,2024-11-16 08:54:01.745861,churned
P100960,2024-06-24 04:20:41,Referral,South Africa,20,Male,Desktop,,never_activated
P101814,2024-06-24 13:59:43,Paid Ads,United States,47,Female,Desktop,,never_activated
P101216,2024-06-24 17:42:48,Organic Search,Portugal,42,Male,Mobile,,never_activated
P100449,2024-06-25 01:54:19,Partner Program,United Kingdom,31,Female,Mobile,2024-07-10 01:01:51.164662,churned
P102118,2024-06-25 17:12:37,Organic Search,United States,26,Female,Desktop,2024-09-25 03:16:22.225478,churned
P100440,2024-06-26 04:43:19,Social Media,United States,31,Male,Mobile,,never_activated
P101795,2024-06-26 15:52:54,Organic Search,United States,39,Female,Desktop,2024-08-24 04:16:36.267571,churned
P100201,2024-06-26 20:25:39,Referral,Australia,32,Male,Desktop,2024-07-29 20:34:40.327837,churned
P100434,2024-06-26 23:33:31,Organic Search,United States,38,Female,Desktop,,never_activated
P101598,2024-06-27 00:31:33,Partner Program,Mexico,27,Female,Desktop,,never_activated
P100899,2024-06-27 02:50:34,Partner Program,Mexico,35,Male,Desktop,2024-07-27 06:16:13.498333,churned
