study_id,study_name,category,researcher_type,posted_date,avg_completion_minutes,reward_amount,places_available
S5068,Incentivize Magnetic Partnerships Study,Academic Research,Academic,2024-12-07 01:27:36,7.5,1.02,360
S5366,Cultivate B2C Partnerships Study,UX Research,Commercial,2024-12-07 20:40:34,23.6,4.22,400
S5206,Synergize Vertical Networks Study,Market Research,Non-Profit,2024-12-07 21:06:20,14.5,1.88,146
S5087,Brand Viral Niches Study,Academic Research,Academic,2024-12-08 06:19:45,9.0,1.52,199
S5169,Enable Dynamic E-Markets Study,Academic Research,Academic,2024-12-09 02:15:48,15.8,2.64,281
S5102,Deliver Strategic Roi Study,Market Research,Academic,2024-12-09 08:50:45,16.0,3.21,141
S5178,Repurpose Strategic Technologies Study,AI/ML Data Labeling,Commercial,2024-12-10 12:42:02,9.2,1.47,250
S5334,Disintermediate Rich Functionalities Study,UX Research,Commercial,2024-12-10 15:11:54,21.3,3.44,144
S5082,Cultivate Scalable Methodologies Study,Academic Research,Academic,2024-12-11 19:53:09,7.8,1.14,112
S5113,Target Mission-Critical Partnerships Study,Academic Research,Academic,2024-12-12 15:10:14,10.4,1.98,382
S5070,Engage Bleeding-Edge Applications Study,Medical & Health,Commercial,2024-12-12 21:42:47,13.5,2.73,220
S5430,Disintermediate Next-Generation Applications Study,AI/ML Data Labeling,Commercial,2024-12-14 20:30:10,3.3,0.51,106
S5017,Re-Intermediate Bricks-And-Clicks Networks Study,Market Research,Commercial,2024-12-15 20:33:36,11.8,2.08,441
S5069,Facilitate Vertical Applications Study,Academic Research,Commercial,2024-12-16 00:53:44,15.2,2.97,485
S5153,Seize Wireless Methodologies Study,Academic Research,Academic,2024-12-18 17:02:27,30.3,5.51,352
S5025,Visualize Intuitive Metrics Study,Academic Research,Commercial,2024-12-20 05:32:01,14.0,3.06,297
S5405,Benchmark Bricks-And-Clicks Channels Study,Medical & Health,Academic,2024-12-22 09:29:45,11.3,2.48,77
S5164,Redefine Open-Source E-Business Study,Academic Research,Academic,2024-12-25 10:05:24,16.1,2.6,30
S5423,Enhance Innovative Functionalities Study,Social Science,Commercial,2024-12-25 19:14:35,15.7,2.7,301
S5237,Benchmark Interactive Platforms Study,Medical & Health,Non-Profit,2024-12-26 04:55:33,15.8,2.36,312
S5033,Architect Turn-Key E-Tailers Study,Academic Research,Commercial,2024-12-26 06:10:27,16.9,2.55,161
S5005,Evolve Killer E-Services Study,Market Research,Commercial,2024-12-26 18:19:00,14.9,2.38,79
S5095,Synergize Back-End Bandwidth Study,Academic Research,Academic,2024-12-27 12:43:46,7.1,0.98,406
S5001,Extend Efficient Action-Items Study,Medical & Health,Commercial,2024-12-27 13:34:34,6.5,1.14,250
S5187,Orchestrate Clicks-And-Mortar Platforms Study,Social Science,Academic,2024-12-28 17:22:04,24.1,3.11,228
S5031,Transition Robust Vortals Study,Academic Research,Commercial,2024-12-29 22:56:03,7.3,0.91,273
S5355,Re-Contextualize World-Class Solutions Study,Academic Research,Academic,2024-12-31 11:11:58,44.0,9.92,298
S5404,Generate Visionary Paradigms Study,Academic Research,Academic,2024-12-31 12:34:51,6.8,1.2,215
S5435,Grow Visionary Action-Items Study,UX Research,Academic,2025-01-01 00:26:04,27.7,4.04,493
S5401,Whiteboard Dynamic E-Business Study,Market Research,Academic,2025-01-01 00:46:15,6.0,1.35,118
S5385,Redefine B2B E-Services Study,AI/ML Data Labeling,Non-Profit,2025-01-01 02:57:35,25.7,4.8,316
S5057,Embrace Bricks-And-Clicks Content Study,AI/ML Data Labeling,Academic,2025-01-01 11:27:34,15.2,3.43,295
S5170,Repurpose Enterprise Methodologies Study,Market Research,Academic,2025-01-02 08:29:46,19.3,3.95,345
S5442,Whiteboard Vertical Markets Study,Market Research,Academic,2025-01-03 03:46:51,11.6,2.61,379
S5133,Matrix B2C Users Study,Medical & Health,Commercial,2025-01-03 16:14:54,25.8,5.5,168
S5108,Benchmark Turn-Key Portals Study,Academic Research,Non-Profit,2025-01-04 11:31:21,21.5,3.24,307
S5032,Strategize Real-Time Partnerships Study,Social Science,Commercial,2025-01-06 08:24:52,9.8,1.77,292
S5275,E-Enable Dynamic Technologies Study,Academic Research,Academic,2025-01-07 02:50:17,9.4,1.52,151
S5007,Aggregate Next-Generation E-Services Study,UX Research,Commercial,2025-01-09 06:51:58,9.6,1.29,138
S5315,Extend World-Class Metrics Study,UX Research,Commercial,2025-01-11 03:19:48,12.2,1.77,44
S5354,Facilitate Enterprise Bandwidth Study,Market Research,Academic,2025-01-11 18:53:16,27.9,5.67,368
S5150,Enhance Proactive Web Services Study,Academic Research,Academic,2025-01-11 18:58:19,8.4,1.59,221
S5191,Target Global Bandwidth Study,Market Research,Academic,2025-01-13 22:38:38,19.8,3.82,422
S5255,Utilize Rich Vortals Study,UX Research,Commercial,2025-01-15 16:41:56,19.9,4.13,472
S5053,Monetize 24/365 Eyeballs Study,Social Science,Commercial,2025-01-17 20:29:47,10.1,1.9,108
S5124,Expedite Best-Of-Breed Supply-Chains Study,Market Research,Academic,2025-01-20 09:04:03,7.4,1.46,288
S5417,Implement Back-End Users Study,Market Research,Academic,2025-01-22 15:15:40,14.2,1.78,439
S5186,Synthesize Wireless Action-Items Study,Medical & Health,Commercial,2025-01-22 16:22:37,16.7,2.4,336
S5337,Grow Holistic Initiatives Study,Medical & Health,Commercial,2025-01-23 06:06:27,2.0,0.41,104
S5305,Generate 24/365 E-Commerce Study,UX Research,Academic,2025-01-23 13:04:03,4.4,0.82,112
S5052,Redefine Sticky Functionalities Study,Social Science,Academic,2025-01-23 23:33:10,8.6,1.48,293
S5384,Innovate Web-Enabled Models Study,Social Science,Commercial,2025-01-25 04:29:16,13.7,2.81,151
S5061,Engineer End-To-End Channels Study,UX Research,Commercial,2025-01-25 10:10:23,8.3,1.35,491
S5045,Morph Value-Added Methodologies Study,UX Research,Non-Profit,2025-01-25 15:59:22,15.0,2.51,408
S5266,Repurpose Out-Of-The-Box Info-Mediaries Study,Market Research,Commercial,2025-01-25 19:11:07,9.6,1.78,96
S5425,Visualize Transparent Initiatives Study,Academic Research,Commercial,2025-01-26 19:17:49,11.1,2.54,317
S5159,Expedite One-To-One Architectures Study,Social Science,Academic,2025-01-27 03:54:36,14.5,2.83,421
S5313,Deliver Rich Systems Study,Academic Research,Commercial,2025-01-27 05:15:03,27.0,4.36,483
S5138,Architect Interactive Web Services Study,UX Research,Non-Profit,2025-01-28 11:36:09,8.2,1.79,238
S5411,Morph Compelling Technologies Study,Medical & Health,Academic,2025-01-30 06:30:11,36.5,5.63,334
S5345,E-Enable Compelling Info-Mediaries Study,UX Research,Academic,2025-01-31 02:47:26,19.3,3.79,186
S5336,Empower End-To-End Technologies Study,Academic Research,Commercial,2025-01-31 18:03:41,14.9,2.55,306
S5449,Enable Dot-Com Roi Study,AI/ML Data Labeling,Commercial,2025-02-02 11:08:46,24.0,3.0,124
S5056,Harness Holistic Web-Readiness Study,Academic Research,Commercial,2025-02-02 21:36:16,26.9,5.22,359
S5352,Benchmark Holistic Eyeballs Study,UX Research,Commercial,2025-02-02 23:22:49,11.4,2.32,402
S5247,Brand Virtual Deliverables Study,Academic Research,Academic,2025-02-03 03:35:26,15.9,2.43,169
S5248,Visualize Real-Time E-Business Study,Social Science,Academic,2025-02-03 21:27:47,13.6,2.27,402
S5437,Innovate Out-Of-The-Box Users Study,AI/ML Data Labeling,Academic,2025-02-05 12:14:53,6.4,0.97,104
S5065,Re-Contextualize 24/365 Content Study,Market Research,Academic,2025-02-05 13:11:16,10.7,2.03,41
S5218,Cultivate Plug-And-Play Roi Study,Academic Research,Academic,2025-02-06 10:14:30,5.8,1.24,235
S5144,Reinvent Open-Source E-Markets Study,Academic Research,Academic,2025-02-06 22:22:03,34.4,6.85,326
S5096,Envisioneer Cutting-Edge Schemas Study,UX Research,Commercial,2025-02-07 10:03:15,8.6,1.96,72
S5134,Integrate Out-Of-The-Box Applications Study,Academic Research,Commercial,2025-02-07 20:52:25,17.2,3.04,404
S5151,Aggregate Wireless Supply-Chains Study,Academic Research,Academic,2025-02-10 03:56:32,21.9,3.74,431
S5446,Architect Bleeding-Edge Supply-Chains Study,AI/ML Data Labeling,Academic,2025-02-10 07:09:15,11.5,2.29,330
S5386,Target Dot-Com Bandwidth Study,Academic Research,Academic,2025-02-11 08:24:18,27.2,4.46,354
S5379,Brand B2B Action-Items Study,Academic Research,Commercial,2025-02-11 12:47:23,8.5,1.42,293
S5067,Productize Customized Initiatives Study,Social Science,Commercial,2025-02-11 21:27:17,15.5,2.5,236
S5060,Drive Holistic Partnerships Study,Market Research,Academic,2025-02-12 02:51:59,20.6,3.23,400
S5260,Incentivize Transparent Models Study,Academic Research,Non-Profit,2025-02-12 04:36:26,10.2,1.81,66
S5230,Architect Plug-And-Play Portals Study,Academic Research,Academic,2025-02-12 05:13:12,29.5,4.69,86
S5013,Seize Cross-Media Metrics Study,AI/ML Data Labeling,Commercial,2025-02-12 09:38:28,10.8,2.39,249
S5306,Embrace Magnetic Experiences Study,UX Research,Academic,2025-02-13 11:22:45,11.4,1.96,31
S5373,Whiteboard Front-End E-Services Study,Market Research,Non-Profit,2025-02-13 13:33:51,43.3,7.36,160
S5375,Transform Mission-Critical Systems Study,Academic Research,Commercial,2025-02-14 08:00:59,47.6,8.07,177
S5267,Engage Cross-Media E-Commerce Study,UX Research,Commercial,2025-02-16 07:48:20,27.8,3.64,349
S5325,Transform Granular Supply-Chains Study,UX Research,Non-Profit,2025-02-16 14:43:01,29.9,5.38,175
S5317,Enhance Vertical Methodologies Study,Academic Research,Commercial,2025-02-16 21:17:21,15.4,2.19,407
S5162,Mesh 24/365 Relationships Study,Market Research,Academic,2025-02-17 18:01:13,9.0,1.35,86
S5389,Incubate Granular Partnerships Study,Medical & Health,Commercial,2025-02-18 00:45:10,26.6,4.82,109
S5360,Repurpose B2C Models Study,Market Research,Academic,2025-02-19 05:06:09,9.5,1.58,395
S5393,Synergize Compelling Platforms Study,Academic Research,Academic,2025-02-19 18:37:45,20.2,4.54,241
S5089,Grow Mission-Critical Markets Study,Academic Research,Academic,2025-02-21 09:46:59,24.1,3.23,315
S5098,Aggregate Distributed E-Tailers Study,UX Research,Academic,2025-02-21 21:40:51,2.0,0.37,155
S5252,Empower Customized Action-Items Study,Academic Research,Academic,2025-02-21 23:21:58,14.8,2.01,220
S5158,Drive Turn-Key E-Commerce Study,Medical & Health,Commercial,2025-02-24 01:08:59,2.8,0.51,226
S5290,Engineer Next-Generation Metrics Study,Academic Research,Academic,2025-02-24 01:12:50,5.3,1.01,294
S5357,Synergize Bleeding-Edge E-Markets Study,UX Research,Non-Profit,2025-02-24 16:45:18,15.1,2.46,472
S5283,Grow Cross-Platform Roi Study,UX Research,Academic,2025-02-24 16:58:31,62.1,12.16,145
S5131,Engage Cutting-Edge Schemas Study,UX Research,Commercial,2025-02-25 07:12:35,13.2,2.11,300
S5174,Envisioneer Best-Of-Breed E-Commerce Study,Academic Research,Academic,2025-02-25 07:45:46,11.1,1.75,66
S5445,E-Enable Best-Of-Breed Applications Study,Academic Research,Commercial,2025-02-26 00:18:35,11.9,1.78,407
S5051,Engineer Virtual Mindshare Study,AI/ML Data Labeling,Commercial,2025-02-27 01:10:09,27.7,4.21,219
S5398,Extend Rich Technologies Study,AI/ML Data Labeling,Non-Profit,2025-02-28 12:34:05,3.1,0.55,24
