payment_id,participant_id,submission_id,amount,payment_date,payment_type
PAY300028,P102604,SUB200028,1.52,2024-03-09 06:25:02.060249,study_reward
PAY300029,P102604,SUB200029,6.67,2024-03-09 10:25:02.060249,study_reward
PAY300030,P100128,SUB200030,7.89,2024-03-10 12:07:26.265763,study_reward
PAY300031,P102327,SUB200031,6.67,2024-03-11 03:48:19.973859,study_reward
PAY300032,P102528,SUB200032,1.52,2024-03-11 12:52:04.679798,study_reward
PAY300033,P102911,SUB200033,6.67,2024-03-11 21:29:53.070811,study_reward
PAY300034,P102632,SUB200034,6.67,2024-03-11 21:54:53.243390,study_reward
PAY300035,P102611,SUB200035,6.67,2024-03-12 01:40:22.177941,study_reward
PAY300036,P102714,SUB200036,1.52,2024-03-13 06:45:56.129467,study_reward
PAY300037,P102327,SUB200038,1.52,2024-03-15 03:48:19.973859,study_reward
PAY300038,P102632,SUB200039,1.52,2024-03-15 12:54:53.243390,study_reward
PAY300039,P102714,SUB200040,6.67,2024-03-15 14:45:56.129467,study_reward
PAY300040,P102761,SUB200041,7.89,2024-03-15 17:19:28.337297,study_reward
PAY300041,P100407,SUB200042,2.91,2024-03-16 17:53:46.308685,study_reward
PAY300042,P102327,SUB200043,6.67,2024-03-16 21:48:19.973859,study_reward
PAY300043,P100407,SUB200044,2.91,2024-03-16 23:53:46.308685,study_reward
PAY300044,P102911,SUB200045,6.67,2024-03-17 10:29:53.070811,study_reward
PAY300045,P100407,SUB200046,2.91,2024-03-17 11:53:46.308685,study_reward
PAY300046,P102761,SUB200047,1.9,2024-03-17 17:19:28.337297,study_reward
PAY300047,P102528,SUB200048,7.89,2024-03-17 20:52:04.679798,study_reward
PAY300048,P100128,SUB200049,7.89,2024-03-18 05:07:26.265763,study_reward
PAY300049,P100821,SUB200050,1.52,2024-03-18 05:46:26.481574,study_reward
PAY300050,P100128,SUB200051,7.89,2024-03-18 22:07:26.265763,study_reward
PAY300051,P102611,SUB200052,3.05,2024-03-19 00:40:22.177941,study_reward
PAY300052,P100407,SUB200054,7.89,2024-03-20 00:53:46.308685,study_reward
PAY300053,P100128,SUB200055,6.67,2024-03-21 00:07:26.265763,study_reward
PAY300054,P100128,SUB200056,6.67,2024-03-21 02:07:26.265763,study_reward
PAY300055,P102604,SUB200057,2.91,2024-03-21 17:25:02.060249,study_reward
PAY300056,P102295,SUB200058,1.52,2024-03-21 21:49:00.167966,study_reward
PAY300057,P102632,SUB200059,2.07,2024-03-22 05:54:53.243390,study_reward
PAY300058,P102714,SUB200061,1.52,2024-03-22 09:45:56.129467,study_reward
PAY300059,P100821,SUB200062,1.52,2024-03-23 04:46:26.481574,study_reward
PAY300060,P100898,SUB200063,7.89,2024-03-23 16:11:27.154428,study_reward
PAY300061,P100945,SUB200064,1.9,2024-03-23 16:53:45.585919,study_reward
PAY300062,P100945,SUB200065,6.67,2024-03-24 03:53:45.585919,study_reward
PAY300063,P100945,SUB200066,2.07,2024-03-24 22:53:45.585919,study_reward
PAY300064,P100470,SUB200069,3.05,2024-03-25 08:27:18.953310,study_reward
PAY300065,P102294,SUB200071,1.52,2024-03-26 01:12:21.504970,study_reward
PAY300066,P102295,SUB200072,2.07,2024-03-26 05:49:00.167966,study_reward
PAY300067,P102911,SUB200073,1.52,2024-03-26 07:29:53.070811,study_reward
PAY300068,P102611,SUB200075,1.52,2024-03-26 22:40:22.177941,study_reward
PAY300069,P102714,SUB200076,1.52,2024-03-27 05:45:56.129467,study_reward
PAY300070,P102528,SUB200077,7.89,2024-03-27 08:52:04.679798,study_reward
PAY300071,P102528,SUB200078,1.52,2024-03-27 10:52:04.679798,study_reward
PAY300072,P100898,SUB200079,2.07,2024-03-27 11:11:27.154428,study_reward
PAY300073,P100205,SUB200080,2.91,2024-03-27 17:19:39.389944,study_reward
PAY300074,P100407,SUB200083,2.91,2024-03-28 11:53:46.308685,study_reward
PAY300075,P102349,SUB200085,2.91,2024-03-28 14:27:33.034357,study_reward
PAY300076,P102632,SUB200086,6.67,2024-03-28 21:54:53.243390,study_reward
PAY300077,P102327,SUB200088,7.89,2024-03-30 04:48:19.973859,study_reward
PAY300078,P100898,SUB200089,2.07,2024-04-01 11:11:27.154428,study_reward
PAY300079,P102714,SUB200090,3.05,2024-04-01 11:45:56.129467,study_reward
PAY300080,P101264,SUB200091,1.9,2024-04-01 12:15:01.056232,study_reward
PAY300081,P102528,SUB200092,7.89,2024-04-01 17:52:04.679798,study_reward
PAY300082,P100470,SUB200093,1.52,2024-04-01 18:27:18.953310,study_reward
PAY300083,P100945,SUB200094,2.07,2024-04-02 08:53:45.585919,study_reward
PAY300084,P101264,SUB200095,6.67,2024-04-02 09:15:01.056232,study_reward
PAY300085,P102761,SUB200096,6.67,2024-04-02 14:19:28.337297,study_reward
PAY300086,P101799,SUB200097,1.9,2024-04-02 14:48:08.173693,study_reward
PAY300087,P102349,SUB200099,1.9,2024-04-03 09:27:33.034357,study_reward
PAY300088,P102611,SUB200101,1.9,2024-04-03 21:40:22.177941,study_reward
PAY300089,P101799,SUB200102,3.05,2024-04-04 15:48:08.173693,study_reward
PAY300090,P100407,SUB200103,3.05,2024-04-04 16:53:46.308685,study_reward
PAY300091,P100821,SUB200104,1.52,2024-04-05 01:46:26.481574,study_reward
PAY300092,P101799,SUB200105,7.89,2024-04-05 03:48:08.173693,study_reward
PAY300093,P100128,SUB200106,1.9,2024-04-05 13:07:26.265763,study_reward
PAY300094,P100821,SUB200107,7.89,2024-04-05 13:46:26.481574,study_reward
PAY300095,P101799,SUB200108,7.89,2024-04-05 13:48:08.173693,study_reward
PAY300096,P101799,SUB200109,3.05,2024-04-06 18:48:08.173693,study_reward
PAY300097,P101746,SUB200110,1.66,2024-04-06 23:57:57.507025,study_reward
PAY300098,P102528,SUB200111,2.07,2024-04-07 00:52:04.679798,study_reward
PAY300099,P102714,SUB200113,1.9,2024-04-07 13:45:56.129467,study_reward
PAY300100,P101746,SUB200114,2.91,2024-04-08 05:57:57.507025,study_reward
PAY300101,P100205,SUB200115,6.67,2024-04-08 18:19:39.389944,study_reward
PAY300102,P100470,SUB200116,1.52,2024-04-09 01:27:18.953310,study_reward
PAY300103,P102224,SUB200117,7.89,2024-04-09 02:05:51.751612,study_reward
PAY300104,P101799,SUB200118,2.91,2024-04-10 00:48:08.173693,study_reward
PAY300105,P101049,SUB200119,2.07,2024-04-10 01:15:56.294157,study_reward
PAY300106,P102295,SUB200120,6.67,2024-04-10 06:49:00.167966,study_reward
PAY300107,P100945,SUB200121,3.05,2024-04-10 14:53:45.585919,study_reward
PAY300108,P100128,SUB200122,7.89,2024-04-10 19:07:26.265763,study_reward
PAY300109,P102708,SUB200123,3.05,2024-04-11 02:42:04.478762,study_reward
PAY300110,P100470,SUB200124,1.9,2024-04-11 04:27:18.953310,study_reward
PAY300111,P102714,SUB200126,3.05,2024-04-11 08:45:56.129467,study_reward
PAY300112,P100505,,5.0,2024-04-11 15:37:04.000000,referral_bonus
PAY300113,P102295,SUB200127,7.89,2024-04-11 16:49:00.167966,study_reward
PAY300114,P102611,SUB200128,2.91,2024-04-12 16:40:22.177941,study_reward
PAY300115,P100470,SUB200129,2.07,2024-04-12 21:27:18.953310,study_reward
PAY300116,P101799,SUB200130,2.07,2024-04-13 08:48:08.173693,study_reward
PAY300117,P102632,SUB200131,1.9,2024-04-13 10:54:53.243390,study_reward
PAY300118,P102685,SUB200133,6.67,2024-04-14 04:54:06.066527,study_reward
PAY300119,P100821,SUB200134,1.52,2024-04-14 08:46:26.481574,study_reward
PAY300120,P102604,SUB200135,2.07,2024-04-15 07:25:02.060249,study_reward
PAY300121,P102604,SUB200136,2.91,2024-04-15 09:25:02.060249,study_reward
PAY300122,P101049,SUB200137,7.89,2024-04-15 19:15:56.294157,study_reward
PAY300123,P100945,SUB200138,7.89,2024-04-15 21:53:45.585919,study_reward
PAY300124,P102632,SUB200139,1.52,2024-04-15 22:54:53.243390,study_reward
PAY300125,P100821,SUB200141,1.9,2024-04-16 19:46:26.481574,study_reward
PAY300126,P102294,SUB200142,2.07,2024-04-16 21:12:21.504970,study_reward
PAY300127,P102295,SUB200143,1.28,2024-04-17 01:49:00.167966,study_reward
PAY300128,P101264,SUB200144,1.28,2024-04-17 07:15:01.056232,study_reward
PAY300129,P100874,SUB200145,1.66,2024-04-17 14:51:53.658605,study_reward
PAY300130,P102528,SUB200147,2.07,2024-04-17 23:52:04.679798,study_reward
PAY300131,P101264,SUB200148,3.05,2024-04-18 07:15:01.056232,study_reward
PAY300132,P100128,SUB200149,1.52,2024-04-18 13:07:26.265763,study_reward
PAY300133,P101049,SUB200151,1.66,2024-04-19 01:15:56.294157,study_reward
PAY300134,P100312,SUB200152,6.67,2024-04-19 15:19:45.213528,study_reward
PAY300135,P100640,SUB200153,3.05,2024-04-19 18:00:00.345736,study_reward
PAY300136,P102224,SUB200154,1.28,2024-04-19 18:05:51.751612,study_reward
PAY300137,P100945,SUB200156,2.07,2024-04-19 21:53:45.585919,study_reward
PAY300138,P102685,SUB200158,1.9,2024-04-20 14:54:06.066527,study_reward
PAY300139,P102975,SUB200160,7.89,2024-04-20 21:23:44.618874,study_reward
PAY300140,P102719,SUB200161,3.05,2024-04-21 04:12:04.426779,study_reward
PAY300141,P100945,SUB200162,1.66,2024-04-21 04:53:45.585919,study_reward
PAY300142,P100128,SUB200163,2.07,2024-04-21 05:07:26.265763,study_reward
PAY300143,P102421,SUB200165,1.9,2024-04-21 07:36:57.461264,study_reward
PAY300144,P101746,SUB200166,2.07,2024-04-21 13:57:57.507025,study_reward
PAY300145,P100925,SUB200167,2.07,2024-04-22 03:03:34.015547,study_reward
PAY300146,P101264,SUB200168,3.05,2024-04-22 06:15:01.056232,study_reward
PAY300147,P100205,SUB200169,1.28,2024-04-22 06:19:39.389944,study_reward
PAY300148,P101264,SUB200170,1.66,2024-04-22 07:15:01.056232,study_reward
PAY300149,P101696,SUB200171,7.89,2024-04-22 14:31:53.164533,study_reward
PAY300150,P102528,SUB200172,7.89,2024-04-22 18:52:04.679798,study_reward
PAY300151,P102349,SUB200173,1.9,2024-04-23 06:27:33.034357,study_reward
PAY300152,P102295,SUB200174,7.89,2024-04-23 06:49:00.167966,study_reward
PAY300153,P100312,SUB200175,3.05,2024-04-23 09:19:45.213528,study_reward
PAY300154,P100128,SUB200176,1.9,2024-04-23 11:07:26.265763,study_reward
PAY300155,P102975,SUB200177,1.9,2024-04-23 16:23:44.618874,study_reward
PAY300156,P100407,SUB200178,1.66,2024-04-23 16:53:46.308685,study_reward
PAY300157,P100640,SUB200179,1.9,2024-04-24 02:00:00.345736,study_reward
PAY300158,P101201,SUB200180,7.89,2024-04-24 06:29:37.458667,study_reward
PAY300159,P102975,SUB200181,6.67,2024-04-24 15:23:44.618874,study_reward
PAY300160,P100312,SUB200182,6.67,2024-04-24 18:19:45.213528,study_reward
PAY300161,P102611,SUB200183,1.66,2024-04-24 19:40:22.177941,study_reward
PAY300162,P100407,SUB200186,6.67,2024-04-25 05:53:46.308685,study_reward
PAY300163,P100128,SUB200187,3.05,2024-04-25 12:07:26.265763,study_reward
PAY300164,P100128,SUB200188,2.91,2024-04-26 03:07:26.265763,study_reward
PAY300165,P102714,SUB200189,3.05,2024-04-26 04:45:56.129467,study_reward
PAY300166,P101454,SUB200190,1.52,2024-04-26 05:19:16.557817,study_reward
PAY300167,P102611,SUB200191,1.28,2024-04-26 08:40:22.177941,study_reward
PAY300168,P100205,SUB200192,1.66,2024-04-26 11:19:39.389944,study_reward
PAY300169,P102397,SUB200193,6.67,2024-04-26 16:06:58.590602,study_reward
PAY300170,P100640,SUB200194,1.52,2024-04-26 18:00:00.345736,study_reward
PAY300171,P102611,SUB200195,1.9,2024-04-26 18:40:22.177941,study_reward
PAY300172,P101264,SUB200196,1.9,2024-04-26 20:15:01.056232,study_reward
PAY300173,P100945,SUB200197,1.52,2024-04-26 21:53:45.585919,study_reward
PAY300174,P102421,SUB200198,2.07,2024-04-27 01:36:57.461264,study_reward
PAY300175,P101746,SUB200199,2.91,2024-04-27 11:57:57.507025,study_reward
PAY300176,P101201,SUB200200,2.91,2024-04-27 12:29:37.458667,study_reward
PAY300177,P100515,SUB200201,1.52,2024-04-27 22:31:13.694397,study_reward
PAY300178,P100898,SUB200202,3.05,2024-04-28 08:11:27.154428,study_reward
PAY300179,P101201,SUB200203,7.89,2024-04-28 16:29:37.458667,study_reward
PAY300180,P102604,SUB200204,7.89,2024-04-29 03:25:02.060249,study_reward
PAY300181,P101454,SUB200205,1.52,2024-04-29 06:19:16.557817,study_reward
PAY300182,P101485,,5.0,2024-04-29 10:18:22.000000,referral_bonus
PAY300183,P102528,SUB200208,1.28,2024-04-29 20:52:04.679798,study_reward
PAY300184,P102295,SUB200209,1.28,2024-04-30 00:49:00.167966,study_reward
PAY300185,P102397,SUB200210,1.9,2024-04-30 03:06:58.590602,study_reward
PAY300186,P101159,SUB200211,3.05,2024-04-30 08:24:39.104821,study_reward
PAY300187,P100945,SUB200212,6.67,2024-04-30 12:53:45.585919,study_reward
PAY300188,P102714,SUB200213,2.91,2024-04-30 14:45:56.129467,study_reward
PAY300189,P101159,SUB200214,2.07,2024-04-30 15:24:39.104821,study_reward
PAY300190,P100604,,5.0,2024-04-30 18:26:46.000000,loyalty_bonus
PAY300191,P101813,SUB200216,1.28,2024-04-30 22:15:42.602866,study_reward
PAY300192,P102685,SUB200217,1.66,2024-04-30 23:54:06.066527,study_reward
PAY300193,P102829,SUB200218,7.89,2024-05-01 02:38:48.342494,study_reward
PAY300194,P100898,SUB200219,0.86,2024-05-01 03:11:27.154428,study_reward
PAY300195,P100640,SUB200221,1.28,2024-05-01 06:00:00.345736,study_reward
PAY300196,P102418,SUB200222,2.85,2024-05-01 19:14:57.441688,study_reward
PAY300197,P102685,SUB200225,1.66,2024-05-02 00:54:06.066527,study_reward
PAY300198,P100128,SUB200226,2.96,2024-05-02 14:07:26.265763,study_reward
PAY300199,P100312,SUB200227,1.9,2024-05-02 19:19:45.213528,study_reward
PAY300200,P100515,SUB200228,7.89,2024-05-02 19:31:13.694397,study_reward
PAY300201,P100821,SUB200229,7.89,2024-05-02 19:46:26.481574,study_reward
PAY300202,P100925,SUB200230,1.66,2024-05-03 03:03:34.015547,study_reward
PAY300203,P101813,SUB200233,2.07,2024-05-03 15:15:42.602866,study_reward
PAY300204,P100407,SUB200234,1.52,2024-05-03 15:53:46.308685,study_reward
PAY300205,P100470,SUB200235,2.91,2024-05-03 21:27:18.953310,study_reward
PAY300206,P102611,SUB200236,2.07,2024-05-04 00:40:22.177941,study_reward
PAY300207,P102858,SUB200237,2.85,2024-05-04 01:28:38.137176,study_reward
PAY300208,P102397,SUB200238,1.28,2024-05-04 09:06:58.590602,study_reward
PAY300209,P101435,SUB200239,2.96,2024-05-04 12:51:08.295330,study_reward
PAY300210,P100114,,5.0,2024-05-04 22:56:31.000000,referral_bonus
PAY300211,P102714,SUB200241,1.9,2024-05-05 03:45:56.129467,study_reward
PAY300212,P102604,SUB200242,3.05,2024-05-05 13:25:02.060249,study_reward
PAY300213,P102829,SUB200243,2.85,2024-05-05 17:38:48.342494,study_reward
PAY300214,P102349,SUB200244,1.52,2024-05-06 02:27:33.034357,study_reward
PAY300215,P101696,SUB200245,3.05,2024-05-06 06:31:53.164533,study_reward
PAY300216,P101264,SUB200246,7.89,2024-05-06 08:15:01.056232,study_reward
PAY300217,P102241,SUB200247,5.45,2024-05-06 10:50:24.702732,study_reward
PAY300218,P101454,SUB200248,1.9,2024-05-06 13:19:16.557817,study_reward
PAY300219,P101233,SUB200250,2.85,2024-05-07 07:43:53.171631,study_reward
PAY300220,P102858,SUB200251,3.05,2024-05-07 08:28:38.137176,study_reward
PAY300221,P102224,SUB200252,6.67,2024-05-07 14:05:51.751612,study_reward
PAY300222,P102349,SUB200254,1.52,2024-05-07 17:27:33.034357,study_reward
PAY300223,P101159,SUB200255,1.52,2024-05-07 18:24:39.104821,study_reward
PAY300224,P100100,SUB200256,3.05,2024-05-07 20:24:53.231944,study_reward
PAY300225,P102295,SUB200257,1.52,2024-05-07 20:49:00.167966,study_reward
PAY300226,P102685,SUB200258,2.96,2024-05-07 21:54:06.066527,study_reward
PAY300227,P102975,SUB200259,2.91,2024-05-08 01:23:44.618874,study_reward
PAY300228,P102418,SUB200260,1.13,2024-05-08 02:14:57.441688,study_reward
PAY300229,P100312,SUB200261,1.52,2024-05-08 03:19:45.213528,study_reward
PAY300230,P100874,SUB200262,1.28,2024-05-08 05:51:53.658605,study_reward
PAY300231,P101288,SUB200263,2.91,2024-05-08 06:48:44.901843,study_reward
PAY300232,P101435,SUB200264,5.45,2024-05-08 08:51:08.295330,study_reward
PAY300233,P102295,SUB200265,6.67,2024-05-08 09:49:00.167966,study_reward
PAY300234,P102858,SUB200266,2.96,2024-05-08 10:28:38.137176,study_reward
PAY300235,P100312,SUB200267,2.07,2024-05-08 18:19:45.213528,study_reward
PAY300236,P101300,SUB200268,4.57,2024-05-08 18:49:30.981325,study_reward
PAY300237,P102349,SUB200269,6.67,2024-05-08 19:27:33.034357,study_reward
PAY300238,P100874,SUB200270,2.07,2024-05-09 03:51:53.658605,study_reward
PAY300239,P101233,SUB200271,3.05,2024-05-09 07:43:53.171631,study_reward
PAY300240,P101288,SUB200273,7.89,2024-05-09 12:48:44.901843,study_reward
PAY300241,P102349,SUB200274,1.28,2024-05-09 20:27:33.034357,study_reward
PAY300242,P102685,SUB200275,2.91,2024-05-09 23:54:06.066527,study_reward
PAY300243,P100470,SUB200276,2.91,2024-05-10 00:27:18.953310,study_reward
PAY300244,P102241,SUB200277,1.66,2024-05-10 01:50:24.702732,study_reward
PAY300245,P101416,SUB200278,1.52,2024-05-10 13:37:18.471647,study_reward
PAY300246,P102418,SUB200279,2.85,2024-05-10 14:14:57.441688,study_reward
PAY300247,P101264,SUB200280,7.89,2024-05-10 15:15:01.056232,study_reward
PAY300248,P100128,SUB200281,1.13,2024-05-10 16:07:26.265763,study_reward
PAY300249,P102708,SUB200282,1.13,2024-05-10 19:42:04.478762,study_reward
PAY300250,P101300,SUB200283,1.66,2024-05-10 22:49:30.981325,study_reward
PAY300251,P100599,SUB200284,4.57,2024-05-11 01:37:01.269191,study_reward
PAY300252,P100168,SUB200285,1.28,2024-05-11 05:42:35.745215,study_reward
PAY300253,P101969,SUB200286,1.9,2024-05-11 06:53:54.250275,study_reward
PAY300254,P100599,SUB200287,1.66,2024-05-11 07:37:01.269191,study_reward
PAY300255,P101008,,2.5,2024-05-11 09:52:01.000000,loyalty_bonus
PAY300256,P102708,SUB200288,2.91,2024-05-11 12:42:04.478762,study_reward
PAY300257,P100312,SUB200289,3.05,2024-05-11 16:19:45.213528,study_reward
PAY300258,P102528,SUB200290,1.13,2024-05-11 18:52:04.679798,study_reward
PAY300259,P102241,SUB200293,1.28,2024-05-12 00:50:24.702732,study_reward
PAY300260,P100312,SUB200294,7.89,2024-05-12 03:19:45.213528,study_reward
PAY300261,P102421,SUB200295,3.05,2024-05-12 04:36:57.461264,study_reward
PAY300262,P102421,SUB200296,2.07,2024-05-12 07:36:57.461264,study_reward
PAY300263,P101233,SUB200297,2.96,2024-05-12 11:43:53.171631,study_reward
PAY300264,P102224,SUB200298,1.66,2024-05-12 13:05:51.751612,study_reward
PAY300265,P102241,SUB200299,2.85,2024-05-12 15:50:24.702732,study_reward
PAY300266,P100470,SUB200300,2.91,2024-05-12 16:27:18.953310,study_reward
PAY300267,P100145,SUB200301,2.96,2024-05-12 20:12:45.039813,study_reward
PAY300268,P101233,SUB200302,6.67,2024-05-12 23:43:53.171631,study_reward
PAY300269,P102397,SUB200303,7.89,2024-05-13 01:06:58.590602,study_reward
PAY300270,P100599,SUB200304,2.96,2024-05-13 04:37:01.269191,study_reward
PAY300271,P102975,SUB200305,1.66,2024-05-13 07:23:44.618874,study_reward
PAY300272,P101159,SUB200306,1.13,2024-05-13 12:24:39.104821,study_reward
PAY300273,P101201,SUB200307,7.89,2024-05-13 13:29:37.458667,study_reward
PAY300274,P102294,SUB200308,0.86,2024-05-13 14:12:21.504970,study_reward
PAY300275,P100042,SUB200309,4.57,2024-05-13 14:19:25.501235,study_reward
PAY300276,P102858,SUB200310,1.66,2024-05-13 15:28:38.137176,study_reward
PAY300277,P102185,,10.0,2024-05-13 16:20:20.000000,loyalty_bonus
PAY300278,P102397,SUB200311,7.89,2024-05-13 17:06:58.590602,study_reward
PAY300279,P101159,SUB200312,1.9,2024-05-14 00:24:39.104821,study_reward
PAY300280,P102857,SUB200314,7.89,2024-05-14 02:01:54.796483,study_reward
PAY300281,P102182,SUB200315,0.86,2024-05-14 07:49:06.060763,study_reward
PAY300282,P101288,SUB200317,2.96,2024-05-14 09:48:44.901843,study_reward
PAY300283,P101300,SUB200320,1.28,2024-05-15 10:49:30.981325,study_reward
PAY300284,P102010,SUB200321,1.13,2024-05-15 13:19:22.471727,study_reward
PAY300285,P102421,SUB200322,6.67,2024-05-15 15:36:57.461264,study_reward
PAY300286,P102714,SUB200323,7.89,2024-05-15 20:45:56.129467,study_reward
PAY300287,P102241,SUB200324,3.05,2024-05-15 21:50:24.702732,study_reward
PAY300288,P101813,SUB200325,0.86,2024-05-15 23:15:42.602866,study_reward
PAY300289,P101300,SUB200326,4.57,2024-05-16 07:49:30.981325,study_reward
PAY300290,P100100,SUB200327,2.85,2024-05-16 11:24:53.231944,study_reward
PAY300291,P100925,SUB200328,1.28,2024-05-16 12:03:34.015547,study_reward
PAY300292,P101813,SUB200329,1.13,2024-05-16 14:15:42.602866,study_reward
PAY300293,P101273,SUB200330,3.05,2024-05-16 22:04:44.163551,study_reward
PAY300294,P102528,SUB200331,1.13,2024-05-16 23:52:04.679798,study_reward
PAY300295,P102975,SUB200334,5.45,2024-05-17 05:23:44.618874,study_reward
PAY300296,P102611,SUB200335,2.91,2024-05-17 05:40:22.177941,study_reward
PAY300297,P102241,SUB200336,2.07,2024-05-17 06:50:24.702732,study_reward
PAY300298,P100472,SUB200338,3.05,2024-05-17 15:46:22.700725,study_reward
PAY300299,P100874,SUB200339,1.13,2024-05-17 17:51:53.658605,study_reward
PAY300300,P102829,SUB200340,1.66,2024-05-17 20:38:48.342494,study_reward
PAY300301,P101813,SUB200341,2.96,2024-05-18 00:15:42.602866,study_reward
PAY300302,P100128,SUB200342,2.85,2024-05-18 01:07:26.265763,study_reward
PAY300303,P100145,SUB200344,1.13,2024-05-18 16:12:45.039813,study_reward
PAY300304,P100205,SUB200345,1.28,2024-05-18 21:19:39.389944,study_reward
PAY300305,P101233,SUB200347,1.66,2024-05-18 23:43:53.171631,study_reward
PAY300306,P102182,SUB200349,6.67,2024-05-19 06:49:06.060763,study_reward
PAY300307,P102182,SUB200350,3.05,2024-05-19 10:49:06.060763,study_reward
PAY300308,P101813,SUB200353,5.45,2024-05-19 17:15:42.602866,study_reward
PAY300309,P102418,SUB200354,1.13,2024-05-19 18:14:57.441688,study_reward
PAY300310,P102611,SUB200355,4.57,2024-05-20 02:40:22.177941,study_reward
PAY300311,P101072,SUB200356,1.66,2024-05-20 03:41:57.327102,study_reward
PAY300312,P102858,SUB200357,2.91,2024-05-20 09:28:38.137176,study_reward
PAY300313,P100168,SUB200358,6.67,2024-05-20 18:42:35.745215,study_reward
PAY300314,P100874,SUB200359,1.66,2024-05-20 18:51:53.658605,study_reward
PAY300315,P101288,SUB200360,2.85,2024-05-20 20:48:44.901843,study_reward
PAY300316,P101264,SUB200361,7.89,2024-05-21 03:15:01.056232,study_reward
PAY300317,P102611,SUB200362,4.57,2024-05-21 03:40:22.177941,study_reward
PAY300318,P101288,SUB200363,1.28,2024-05-21 05:48:44.901843,study_reward
PAY300319,P101826,SUB200364,2.96,2024-05-21 06:57:38.938281,study_reward
PAY300320,P102858,SUB200365,2.96,2024-05-21 07:28:38.137176,study_reward
PAY300321,P100874,SUB200366,1.13,2024-05-21 08:51:53.658605,study_reward
PAY300322,P101300,SUB200367,1.66,2024-05-21 09:49:30.981325,study_reward
PAY300323,P101416,SUB200368,2.85,2024-05-21 14:37:18.471647,study_reward
PAY300324,P100042,SUB200369,0.86,2024-05-21 18:19:25.501235,study_reward
PAY300325,P100874,SUB200370,1.66,2024-05-21 20:51:53.658605,study_reward
PAY300326,P101454,SUB200371,1.52,2024-05-21 23:19:16.557817,study_reward
PAY300327,P102939,SUB200372,2.96,2024-05-22 01:10:06.972405,study_reward
PAY300328,P102714,SUB200373,2.96,2024-05-22 03:45:56.129467,study_reward
PAY300329,P102418,SUB200374,6.67,2024-05-22 08:14:57.441688,study_reward
PAY300330,P102010,SUB200375,1.9,2024-05-22 12:19:22.471727,study_reward
PAY300331,P100312,SUB200376,1.9,2024-05-22 12:19:45.213528,study_reward
PAY300332,P101826,SUB200377,7.89,2024-05-22 13:57:38.938281,study_reward
PAY300333,P102829,SUB200378,7.89,2024-05-22 15:38:48.342494,study_reward
PAY300334,P102606,SUB200379,1.79,2024-05-22 21:15:51.825865,study_reward
PAY300335,P102714,SUB200380,6.67,2024-05-23 06:45:56.129467,study_reward
PAY300336,P102528,SUB200381,1.66,2024-05-23 11:52:04.679798,study_reward
PAY300337,P100599,SUB200384,2.07,2024-05-23 21:37:01.269191,study_reward
PAY300338,P102528,SUB200385,2.07,2024-05-23 21:52:04.679798,study_reward
PAY300339,P100569,,5.0,2024-05-23 22:21:36.000000,referral_bonus
