event_id,participant_id,event_type,event_timestamp
EVT400176,P102818,browse_studies,2024-03-17 16:41:20.157405
EVT400177,P102611,app_open,2024-03-17 17:31:17.146090
EVT400178,P102528,login,2024-03-17 18:52:04.679798
EVT400179,P100407,login,2024-03-17 22:45:38.591006
EVT400180,P100128,browse_studies,2024-03-18 01:34:34.459242
EVT400181,P102528,browse_studies,2024-03-18 02:13:45.783488
EVT400182,P100128,login,2024-03-18 03:07:26.265763
EVT400183,P100821,login,2024-03-18 03:46:26.481574
EVT400184,P102761,browse_studies,2024-03-18 04:51:12.331355
EVT400185,P100840,browse_studies,2024-03-18 09:53:53.249175
EVT400186,P102294,notification_click,2024-03-18 13:40:23.161090
EVT400187,P101752,app_open,2024-03-18 14:47:50.014554
EVT400188,P102911,app_open,2024-03-18 15:36:42.142615
EVT400189,P102611,login,2024-03-18 16:25:39.967216
EVT400190,P102911,login,2024-03-18 17:29:15.410669
EVT400191,P102714,browse_studies,2024-03-18 17:39:56.845232
EVT400192,P102911,login,2024-03-18 18:43:42.428857
EVT400193,P100128,login,2024-03-18 20:07:26.265763
EVT400194,P102611,login,2024-03-18 22:40:22.177941
EVT400195,P100407,app_open,2024-03-19 00:24:15.371349
EVT400196,P100128,browse_studies,2024-03-19 01:28:46.499225
EVT400197,P102611,browse_studies,2024-03-19 03:10:55.184264
EVT400198,P102911,profile_update,2024-03-19 11:33:58.841267
EVT400199,P102911,app_open,2024-03-19 12:24:40.131506
EVT400200,P100128,app_open,2024-03-19 12:50:47.763917
EVT400201,P102295,app_open,2024-03-19 20:14:47.172057
EVT400202,P102294,login,2024-03-19 22:12:21.504970
EVT400203,P102294,browse_studies,2024-03-19 22:50:24.837952
EVT400204,P100407,login,2024-03-19 22:53:46.308685
EVT400205,P102604,login,2024-03-20 05:11:24.023121
EVT400206,P100821,notification_click,2024-03-20 10:49:08.912646
EVT400207,P102818,login,2024-03-20 11:32:12.799936
EVT400208,P100945,app_open,2024-03-20 12:05:57.247481
EVT400209,P102131,browse_studies,2024-03-20 16:40:40.751181
EVT400210,P100456,login,2024-03-20 21:44:16.884236
EVT400211,P100128,login,2024-03-20 22:07:26.265763
EVT400212,P100821,app_open,2024-03-20 22:08:47.946428
EVT400213,P102294,login,2024-03-20 23:56:52.825712
EVT400214,P100128,login,2024-03-21 00:07:26.265763
EVT400215,P102714,login,2024-03-21 01:14:42.897474
EVT400216,P102911,browse_studies,2024-03-21 04:47:28.134830
EVT400217,P102327,login,2024-03-21 05:59:32.891320
EVT400218,P102327,login,2024-03-21 08:59:11.895949
EVT400219,P102632,login,2024-03-21 12:42:04.152085
EVT400220,P102604,login,2024-03-21 15:25:02.060249
EVT400221,P102295,login,2024-03-21 19:49:00.167966
EVT400222,P100407,login,2024-03-22 01:21:50.246786
EVT400223,P102632,login,2024-03-22 03:54:53.243390
EVT400224,P100821,browse_studies,2024-03-22 05:18:47.568696
EVT400225,P100945,login,2024-03-22 06:53:45.585919
EVT400226,P102604,app_open,2024-03-22 07:14:52.124974
EVT400227,P102714,login,2024-03-22 07:45:56.129467
EVT400228,P102131,browse_studies,2024-03-22 08:06:29.354624
EVT400229,P100407,login,2024-03-22 09:22:57.930379
EVT400230,P102604,app_open,2024-03-22 09:29:16.040812
EVT400231,P102632,browse_studies,2024-03-22 10:39:03.883079
EVT400232,P100821,login,2024-03-22 19:10:40.291765
EVT400233,P100128,app_open,2024-03-22 20:06:25.984647
EVT400234,P100840,browse_studies,2024-03-22 20:31:56.847919
EVT400235,P100945,login,2024-03-22 23:19:30.271434
EVT400236,P100821,login,2024-03-23 02:46:26.481574
EVT400237,P102604,browse_studies,2024-03-23 03:13:52.728749
EVT400238,P100945,browse_studies,2024-03-23 03:37:40.769968
EVT400239,P100945,browse_studies,2024-03-23 07:24:21.965779
EVT400240,P100898,login,2024-03-23 14:11:27.154428
EVT400241,P100945,login,2024-03-23 14:53:45.585919
EVT400242,P100945,notification_click,2024-03-23 17:17:02.464188
EVT400243,P102604,app_open,2024-03-23 23:25:48.276373
EVT400244,P100945,login,2024-03-24 01:53:45.585919
EVT400245,P100945,browse_studies,2024-03-24 02:09:00.956071
EVT400246,P100945,browse_studies,2024-03-24 03:26:49.289735
EVT400247,P100840,browse_studies,2024-03-24 08:11:46.207150
EVT400248,P100945,browse_studies,2024-03-24 08:38:53.414954
EVT400249,P100470,login,2024-03-24 17:57:58.342254
EVT400250,P100128,app_open,2024-03-24 19:06:03.449004
EVT400251,P100945,login,2024-03-24 20:53:45.585919
EVT400252,P100945,login,2024-03-24 20:55:09.765553
EVT400253,P100945,app_open,2024-03-24 22:31:45.490417
EVT400254,P102360,login,2024-03-24 22:56:44.375365
EVT400255,P100945,login,2024-03-24 23:05:50.405780
EVT400256,P102360,browse_studies,2024-03-25 02:21:41.640231
EVT400257,P102327,login,2024-03-25 02:48:19.973859
EVT400258,P100470,login,2024-03-25 06:27:18.953310
EVT400259,P100945,app_open,2024-03-25 13:15:32.788264
EVT400260,P102714,browse_studies,2024-03-25 16:29:51.236134
EVT400261,P102349,login,2024-03-25 17:38:10.658011
EVT400262,P102761,login,2024-03-25 18:59:59.933742
EVT400263,P100205,browse_studies,2024-03-25 19:14:19.574033
EVT400264,P100128,login,2024-03-25 23:07:26.265763
EVT400265,P102294,login,2024-03-25 23:12:21.504970
EVT400266,P100128,browse_studies,2024-03-26 00:55:15.848455
EVT400267,P102224,browse_studies,2024-03-26 01:06:59.326049
EVT400268,P102714,login,2024-03-26 01:36:37.453122
EVT400269,P102295,login,2024-03-26 03:49:00.167966
EVT400270,P102327,browse_studies,2024-03-26 04:40:46.606992
EVT400271,P102911,login,2024-03-26 05:29:53.070811
EVT400272,P100945,login,2024-03-26 09:00:59.395191
EVT400273,P102528,notification_click,2024-03-26 09:44:32.216154
EVT400274,P100898,app_open,2024-03-26 14:30:48.752933
EVT400275,P102360,browse_studies,2024-03-26 15:04:50.368733
EVT400276,P102761,login,2024-03-26 16:19:28.337297
EVT400277,P102911,browse_studies,2024-03-26 17:38:23.329664
EVT400278,P100470,app_open,2024-03-26 18:19:16.471248
EVT400279,P102611,login,2024-03-26 20:40:22.177941
EVT400280,P100898,profile_update,2024-03-26 21:40:46.044027
EVT400281,P102349,app_open,2024-03-27 02:33:06.722313
EVT400282,P102714,login,2024-03-27 03:45:56.129467
EVT400283,P102632,login,2024-03-27 05:41:13.779859
EVT400284,P102528,login,2024-03-27 06:22:35.890262
EVT400285,P102528,login,2024-03-27 06:52:04.679798
EVT400286,P102528,login,2024-03-27 08:52:04.679798
EVT400287,P100898,login,2024-03-27 09:11:27.154428
EVT400288,P102714,notification_click,2024-03-27 10:33:32.488361
EVT400289,P100205,login,2024-03-27 10:41:18.538017
EVT400290,P102911,login,2024-03-27 12:39:48.272854
EVT400291,P102714,profile_update,2024-03-27 13:18:35.004635
EVT400292,P102714,browse_studies,2024-03-27 14:31:57.665222
EVT400293,P100205,login,2024-03-27 15:19:39.389944
EVT400294,P102131,notification_click,2024-03-27 17:08:05.768747
EVT400295,P102327,browse_studies,2024-03-27 19:15:57.337542
EVT400296,P100128,notification_click,2024-03-27 20:27:05.971890
EVT400297,P100205,login,2024-03-27 23:01:23.694083
EVT400298,P100205,notification_click,2024-03-28 00:44:46.582579
EVT400299,P100898,login,2024-03-28 03:11:27.154428
EVT400300,P102295,notification_click,2024-03-28 03:45:17.878039
EVT400301,P102714,login,2024-03-28 03:45:56.129467
EVT400302,P102528,notification_click,2024-03-28 06:53:53.482858
EVT400303,P100128,app_open,2024-03-28 08:10:48.607208
EVT400304,P102327,notification_click,2024-03-28 08:16:20.240808
EVT400305,P100407,login,2024-03-28 09:53:46.308685
EVT400306,P102295,login,2024-03-28 11:49:00.167966
EVT400307,P102349,login,2024-03-28 12:27:33.034357
EVT400308,P102327,notification_click,2024-03-28 12:49:05.706224
EVT400309,P102528,login,2024-03-28 14:01:13.631509
EVT400310,P102224,browse_studies,2024-03-28 14:13:07.067714
EVT400311,P100898,login,2024-03-28 16:40:48.924416
EVT400312,P102632,login,2024-03-28 19:54:53.243390
EVT400313,P102295,notification_click,2024-03-28 21:04:41.474059
EVT400314,P100898,notification_click,2024-03-29 03:44:19.281254
EVT400315,P102604,login,2024-03-29 09:05:50.147065
EVT400316,P100128,notification_click,2024-03-29 14:32:36.777298
EVT400317,P100898,login,2024-03-29 20:24:50.625752
EVT400318,P102604,login,2024-03-29 23:25:02.060249
EVT400319,P101264,browse_studies,2024-03-29 23:49:40.410275
EVT400320,P102327,login,2024-03-30 02:48:19.973859
EVT400321,P102131,browse_studies,2024-03-30 07:43:18.110463
EVT400322,P101264,browse_studies,2024-03-30 08:29:46.631037
EVT400323,P100945,profile_update,2024-03-30 09:40:05.577037
EVT400324,P101799,app_open,2024-03-30 21:40:49.560141
EVT400325,P100128,notification_click,2024-03-30 23:25:01.838081
EVT400326,P102714,app_open,2024-03-31 04:04:35.249687
EVT400327,P102604,app_open,2024-03-31 07:16:53.519472
EVT400328,P100898,browse_studies,2024-03-31 08:25:44.876998
EVT400329,P102528,app_open,2024-03-31 14:40:13.835740
EVT400330,P101264,login,2024-03-31 22:30:37.710745
EVT400331,P102528,profile_update,2024-04-01 01:51:05.765507
EVT400332,P102714,app_open,2024-04-01 03:34:38.532268
EVT400333,P100898,login,2024-04-01 09:11:27.154428
EVT400334,P102360,browse_studies,2024-04-01 09:45:48.668696
EVT400335,P102714,login,2024-04-01 09:45:56.129467
EVT400336,P101264,login,2024-04-01 10:15:01.056232
EVT400337,P102528,login,2024-04-01 14:51:09.141948
EVT400338,P102761,app_open,2024-04-01 15:16:41.354457
EVT400339,P100945,browse_studies,2024-04-01 15:31:14.719003
EVT400340,P102528,login,2024-04-01 15:52:04.679798
EVT400341,P100470,login,2024-04-01 16:27:18.953310
EVT400342,P100821,browse_studies,2024-04-01 21:54:31.299107
EVT400343,P101264,login,2024-04-02 00:01:25.974902
EVT400344,P100945,login,2024-04-02 06:53:45.585919
EVT400345,P101264,login,2024-04-02 07:15:01.056232
EVT400346,P102714,browse_studies,2024-04-02 08:23:34.855778
EVT400347,P102714,login,2024-04-02 09:36:14.177991
EVT400348,P102761,login,2024-04-02 12:19:28.337297
EVT400349,P101799,login,2024-04-02 12:48:08.173693
EVT400350,P101799,login,2024-04-02 14:43:30.051435
EVT400351,P100821,login,2024-04-02 15:06:30.871415
EVT400352,P100898,login,2024-04-02 17:29:13.673581
EVT400353,P102761,login,2024-04-02 22:20:30.804829
EVT400354,P100898,app_open,2024-04-02 23:34:45.868346
EVT400355,P102761,login,2024-04-02 23:39:09.696702
EVT400356,P102349,app_open,2024-04-03 00:30:31.649178
EVT400357,P100945,login,2024-04-03 01:52:02.274666
EVT400358,P100821,app_open,2024-04-03 02:11:48.606418
EVT400359,P100128,login,2024-04-03 03:07:26.265763
EVT400360,P101799,browse_studies,2024-04-03 05:29:10.377638
EVT400361,P100407,app_open,2024-04-03 06:44:16.204493
EVT400362,P102349,login,2024-04-03 07:27:33.034357
EVT400363,P102349,login,2024-04-03 12:58:28.378686
EVT400364,P102714,login,2024-04-03 14:45:56.129467
EVT400365,P102714,browse_studies,2024-04-03 14:46:36.557176
EVT400366,P102611,login,2024-04-03 19:40:22.177941
EVT400367,P101073,app_open,2024-04-04 00:33:40.192053
EVT400368,P100821,notification_click,2024-04-04 01:44:55.152789
EVT400369,P102714,notification_click,2024-04-04 03:58:24.583016
EVT400370,P101799,app_open,2024-04-04 06:15:45.636260
EVT400371,P100470,app_open,2024-04-04 06:43:42.294371
EVT400372,P100407,login,2024-04-04 08:47:06.557820
EVT400373,P101799,login,2024-04-04 10:26:49.559197
EVT400374,P100821,browse_studies,2024-04-04 12:01:52.664029
EVT400375,P101799,login,2024-04-04 13:48:08.173693
EVT400376,P100407,login,2024-04-04 14:53:46.308685
EVT400377,P101799,login,2024-04-04 16:34:53.515986
EVT400378,P100407,login,2024-04-04 18:27:12.924163
EVT400379,P102528,notification_click,2024-04-04 18:46:56.488475
EVT400380,P101799,browse_studies,2024-04-04 21:53:22.118709
EVT400381,P100821,login,2024-04-04 23:46:26.481574
EVT400382,P101799,browse_studies,2024-04-05 00:11:34.488456
EVT400383,P100470,browse_studies,2024-04-05 00:21:59.048650
EVT400384,P101799,login,2024-04-05 01:48:08.173693
EVT400385,P101746,app_open,2024-04-05 04:56:37.040739
EVT400386,P102611,login,2024-04-05 06:59:00.894443
EVT400387,P100821,app_open,2024-04-05 09:19:16.954169
EVT400388,P100128,login,2024-04-05 11:07:26.265763
EVT400389,P100821,login,2024-04-05 11:46:26.481574
EVT400390,P101799,login,2024-04-05 11:48:08.173693
EVT400391,P100821,browse_studies,2024-04-05 11:58:26.587376
EVT400392,P102224,browse_studies,2024-04-05 12:02:28.922838
EVT400393,P100128,login,2024-04-05 15:56:31.182504
EVT400394,P102703,browse_studies,2024-04-05 19:54:38.833103
EVT400395,P102349,login,2024-04-05 20:28:38.677557
EVT400396,P102360,app_open,2024-04-05 21:57:37.053428
EVT400397,P102714,login,2024-04-06 00:26:04.921437
EVT400398,P100821,app_open,2024-04-06 07:25:17.548793
EVT400399,P101799,app_open,2024-04-06 08:35:19.779729
EVT400400,P101799,login,2024-04-06 09:34:42.830758
EVT400401,P100205,browse_studies,2024-04-06 13:17:15.872336
EVT400402,P101283,browse_studies,2024-04-06 13:43:00.914331
EVT400403,P101799,browse_studies,2024-04-06 14:26:35.504414
EVT400404,P102528,login,2024-04-06 14:33:51.242541
EVT400405,P102018,browse_studies,2024-04-06 16:34:06.671935
EVT400406,P101799,login,2024-04-06 16:48:08.173693
EVT400407,P102018,browse_studies,2024-04-06 21:51:26.096301
EVT400408,P101746,login,2024-04-06 21:57:57.507025
EVT400409,P102528,login,2024-04-06 22:52:04.679798
EVT400410,P101746,app_open,2024-04-07 04:03:02.881075
EVT400411,P100470,notification_click,2024-04-07 06:13:50.732941
EVT400412,P102360,login,2024-04-07 06:56:44.375365
EVT400413,P101799,app_open,2024-04-07 08:08:55.966173
EVT400414,P102714,login,2024-04-07 11:45:56.129467
EVT400415,P101799,notification_click,2024-04-07 16:56:08.430296
EVT400416,P101799,notification_click,2024-04-07 23:13:06.939090
EVT400417,P102360,app_open,2024-04-07 23:54:21.867808
EVT400418,P101746,login,2024-04-08 03:57:57.507025
EVT400419,P102295,app_open,2024-04-08 07:31:19.952438
EVT400420,P100407,browse_studies,2024-04-08 08:58:20.041544
EVT400421,P101049,browse_studies,2024-04-08 12:59:36.372212
EVT400422,P100470,app_open,2024-04-08 13:11:30.378228
EVT400423,P100205,app_open,2024-04-08 14:16:09.379997
EVT400424,P100470,app_open,2024-04-08 14:39:29.367138
EVT400425,P100205,login,2024-04-08 16:19:39.389944
EVT400426,P102360,browse_studies,2024-04-08 20:58:22.218530
EVT400427,P101513,login,2024-04-08 23:08:18.512874
EVT400428,P100470,login,2024-04-08 23:27:18.953310
EVT400429,P102224,login,2024-04-09 00:05:51.751612
EVT400430,P101799,browse_studies,2024-04-09 00:31:55.308252
EVT400431,P102708,browse_studies,2024-04-09 04:50:44.529930
EVT400432,P101799,login,2024-04-09 05:15:21.541831
EVT400433,P101049,login,2024-04-09 05:22:50.724165
EVT400434,P101513,login,2024-04-09 07:14:41.083077
EVT400435,P102632,profile_update,2024-04-09 09:36:38.447555
EVT400436,P102632,browse_studies,2024-04-09 15:03:49.346275
EVT400437,P100128,app_open,2024-04-09 20:36:01.159645
EVT400438,P101799,login,2024-04-09 22:48:08.173693
EVT400439,P101049,login,2024-04-09 23:15:56.294157
EVT400440,P102714,app_open,2024-04-09 23:36:59.745565
EVT400441,P102295,login,2024-04-10 04:49:00.167966
EVT400442,P102295,app_open,2024-04-10 05:15:04.675360
EVT400443,P102516,app_open,2024-04-10 07:36:24.355298
EVT400444,P102295,browse_studies,2024-04-10 11:42:13.700809
EVT400445,P102360,login,2024-04-10 12:00:02.489456
EVT400446,P100945,login,2024-04-10 12:53:45.585919
EVT400447,P102708,login,2024-04-10 15:22:44.434022
EVT400448,P102295,login,2024-04-10 16:37:15.766992
EVT400449,P100128,login,2024-04-10 17:07:26.265763
EVT400450,P100128,browse_studies,2024-04-10 17:26:03.083673
EVT400451,P102714,profile_update,2024-04-10 19:24:18.385883
EVT400452,P100470,app_open,2024-04-10 20:39:35.226352
EVT400453,P102632,app_open,2024-04-10 22:13:52.918003
EVT400454,P101746,browse_studies,2024-04-10 23:04:26.543295
EVT400455,P101746,login,2024-04-10 23:47:55.621643
EVT400456,P102708,login,2024-04-11 00:42:04.478762
EVT400457,P100470,login,2024-04-11 02:27:18.953310
EVT400458,P102632,login,2024-04-11 02:54:53.243390
EVT400459,P102714,login,2024-04-11 06:45:56.129467
EVT400460,P102295,browse_studies,2024-04-11 08:21:15.574546
EVT400461,P102295,browse_studies,2024-04-11 09:41:30.763795
EVT400462,P100945,browse_studies,2024-04-11 10:02:17.310042
EVT400463,P102295,login,2024-04-11 14:49:00.167966
EVT400464,P102714,login,2024-04-11 18:32:39.389995
EVT400465,P102708,profile_update,2024-04-11 18:51:24.146626
EVT400466,P102714,profile_update,2024-04-11 20:15:07.111297
EVT400467,P102632,app_open,2024-04-11 20:29:50.262266
EVT400468,P100470,login,2024-04-12 04:09:23.227389
EVT400469,P101799,app_open,2024-04-12 04:39:02.313131
EVT400470,P100470,app_open,2024-04-12 05:01:22.255107
